,SerNo,PSNo,Data,GoodNo,GoodID,Num,Price
0,200304130133012.0,1019.0,20030413.0,1.0,1031840.0,1.0,6.8
1,200304130133012.0,1019.0,20030413.0,2.0,1005574.0,1.0,1.6
2,200304130133012.0,1019.0,20030413.0,3.0,1036070.0,1.0,1.6
3,200304130133012.0,1019.0,20030413.0,4.0,1048912.0,1.0,29.8
4,200304130133012.0,1019.0,20030413.0,5.0,1010999.0,1.0,10.3
5,200304130133012.0,1019.0,20030413.0,6.0,1001765.0,1.0,7.8
6,200304130133012.0,1019.0,20030413.0,7.0,1040658.0,2.0,2.1
7,200304130133012.0,1019.0,20030413.0,8.0,1004054.0,1.0,2.5
8,200304130134012.0,1019.0,20030413.0,1.0,1009523.0,1.0,1.7
9,200304130134012.0,1019.0,20030413.0,2.0,1035507.0,2.0,1.8
10,200304130134012.0,1019.0,20030413.0,3.0,1012299.0,1.0,3.0
11,200304130135012.0,1019.0,20030413.0,1.0,1005419.0,2.0,1.4
12,200304130135012.0,1019.0,20030413.0,2.0,1007270.0,2.0,13.8
13,200304130135012.0,1019.0,20030413.0,3.0,1038506.0,1.0,16.3
14,200304130135012.0,1019.0,20030413.0,4.0,1042018.0,1.0,32.0
15,200304130135012.0,1019.0,20030413.0,5.0,1031276.0,1.0,29.8
16,200304130135012.0,1019.0,20030413.0,6.0,1041966.0,1.0,45.6
17,200304130136012.0,1019.0,20030413.0,1.0,1022308.0,0.268,6.4
18,200304130136012.0,1019.0,20030413.0,2.0,1035904.0,1.0,2.7
19,200304130136012.0,1019.0,20030413.0,3.0,1044204.0,1.0,3.9
20,200304130136012.0,1019.0,20030413.0,4.0,1022498.0,0.36,12.0
21,200304130136012.0,1019.0,20030413.0,5.0,1006049.0,1.0,3.3
22,200304130136012.0,1019.0,20030413.0,6.0,1006009.0,1.0,2.6
23,200304130136012.0,1019.0,20030413.0,9.0,1034751.0,1.0,2.7
24,200304130136012.0,1019.0,20030413.0,12.0,1037739.0,1.0,10.7
25,200304130136012.0,1019.0,20030413.0,13.0,1006257.0,3.0,2.9
26,200304130136012.0,1019.0,20030413.0,14.0,1015197.0,1.0,4.9
27,200304130136012.0,1019.0,20030413.0,15.0,1036126.0,1.0,7.2
28,200304130136012.0,1019.0,20030413.0,16.0,1033269.0,1.0,3.4
29,200304130136012.0,1019.0,20030413.0,17.0,1037735.0,1.0,17.6
30,200304130137012.0,1019.0,20030413.0,1.0,1023551.0,12.0,1.65
31,200304130137012.0,1019.0,20030413.0,2.0,1035034.0,2.0,3.3
32,200304130137012.0,1019.0,20030413.0,3.0,1008607.0,0.498,16.0
33,200304130137012.0,1019.0,20030413.0,4.0,1027137.0,1.0,4.5
34,200304130137012.0,1019.0,20030413.0,5.0,1005783.0,1.0,21.0
35,200304130137012.0,1019.0,20030413.0,6.0,1034751.0,1.0,2.7
36,200304130137012.0,1019.0,20030413.0,7.0,1033269.0,1.0,3.4
37,200304130137012.0,1019.0,20030413.0,8.0,1035594.0,1.0,11.3
38,200304130137012.0,1019.0,20030413.0,9.0,1040958.0,1.0,9.8
39,200304130138012.0,1019.0,20030413.0,1.0,1013685.0,1.0,1.6
40,200304130138012.0,1019.0,20030413.0,2.0,1015057.0,1.0,2.5
41,200304130138012.0,1019.0,20030413.0,3.0,1013653.0,1.0,1.6
42,200304130138012.0,1019.0,20030413.0,4.0,1013659.0,1.0,1.8
43,200304130138012.0,1019.0,20030413.0,5.0,1013801.0,1.0,1.1
44,200304130138012.0,1019.0,20030413.0,6.0,1014570.0,1.0,1.6
45,200304130138012.0,1019.0,20030413.0,7.0,1013769.0,2.0,2.8
46,200304130138012.0,1019.0,20030413.0,8.0,1013702.0,2.0,1.5
47,200304130138012.0,1019.0,20030413.0,9.0,1041314.0,2.0,3.8
48,200304130140012.0,1019.0,20030413.0,1.0,1008364.0,2.0,3.25
49,200304130141012.0,1019.0,20030413.0,1.0,1002663.0,1.0,26.9
50,200304130141012.0,1019.0,20030413.0,2.0,1003280.0,1.0,27.3
51,200304130141012.0,1019.0,20030413.0,3.0,1008127.0,3.0,1.2
52,200304130141012.0,1019.0,20030413.0,5.0,1048758.0,1.0,3.1
53,200304130142012.0,1019.0,20030413.0,1.0,1038246.0,1.0,5.9
54,200304130142012.0,1019.0,20030413.0,2.0,1048657.0,1.0,4.0
55,200304130142012.0,1019.0,20030413.0,3.0,1007764.0,1.0,15.6
56,200304130142012.0,1019.0,20030413.0,5.0,1002904.0,1.0,5.0
57,200304130142012.0,1019.0,20030413.0,6.0,1003380.0,1.0,3.1
58,200304130142012.0,1019.0,20030413.0,7.0,1021188.0,1.0,2.1
59,200304130142012.0,1019.0,20030413.0,8.0,1036763.0,1.0,3.3
60,200304130143012.0,1019.0,20030413.0,1.0,1004814.0,24.0,1.65
61,200304130144012.0,1019.0,20030413.0,1.0,1004997.0,1.0,12.7
62,200304130144012.0,1019.0,20030413.0,2.0,1002533.0,1.0,38.0
63,200304130144012.0,1019.0,20030413.0,3.0,1007010.0,1.0,7.3
64,200304130144012.0,1019.0,20030413.0,4.0,1004616.0,1.0,8.9
65,200304130144012.0,1019.0,20030413.0,5.0,1021305.0,1.0,17.8
66,200304130145012.0,1019.0,20030413.0,1.0,1005573.0,2.0,5.8
67,200304130146012.0,1019.0,20030413.0,1.0,1027097.0,4.0,4.0
68,200304130147012.0,1019.0,20030413.0,1.0,1003886.0,1.0,11.6
69,200304130147012.0,1019.0,20030413.0,2.0,1041187.0,1.0,4.0
70,200304130147012.0,1019.0,20030413.0,3.0,1012208.0,1.0,28.5
71,200304130147012.0,1019.0,20030413.0,4.0,1032506.0,1.0,3.6
72,200304130147012.0,1019.0,20030413.0,5.0,1000437.0,1.0,2.5
73,200304130148012.0,1019.0,20030413.0,1.0,1026504.0,0.108,28.6
74,200304130148012.0,1019.0,20030413.0,2.0,1037454.0,0.108,79.6
75,200304130148012.0,1019.0,20030413.0,3.0,1023762.0,0.172,13.0
76,200304130149012.0,1019.0,20030413.0,1.0,1000917.0,1.0,3.6
77,200304130150012.0,1019.0,20030413.0,1.0,1014877.0,1.0,39.8
78,200304130151012.0,1019.0,20030413.0,1.0,1029124.0,1.0,1.9
79,200304130151012.0,1019.0,20030413.0,2.0,1035414.0,1.0,2.0
80,200304130152012.0,1019.0,20030413.0,1.0,1047950.0,1.0,2.2
81,200304130152012.0,1019.0,20030413.0,2.0,1035414.0,1.0,2.0
82,200304130152012.0,1019.0,20030413.0,3.0,1041544.0,1.0,2.8
83,200304130153012.0,1019.0,20030413.0,1.0,1036708.0,1.0,4.0
84,200304130153012.0,1019.0,20030413.0,2.0,1035413.0,1.0,3.0
85,200304130154012.0,1019.0,20030413.0,1.0,1029124.0,1.0,1.9
86,200304130154012.0,1019.0,20030413.0,2.0,1035414.0,1.0,2.0
87,200304130155012.0,1019.0,20030413.0,1.0,1029124.0,1.0,1.9
88,200304130155012.0,1019.0,20030413.0,2.0,1037297.0,1.0,5.0
89,200304130155012.0,1019.0,20030413.0,3.0,1035413.0,1.0,3.0
90,200304130156012.0,1019.0,20030413.0,1.0,1035413.0,1.0,3.0
91,200304130156012.0,1019.0,20030413.0,2.0,1004095.0,1.0,6.8
92,200304130157012.0,1019.0,20030413.0,1.0,1035414.0,1.0,2.0
93,200304130157012.0,1019.0,20030413.0,2.0,1029124.0,1.0,1.9
94,200304130158012.0,1019.0,20030413.0,1.0,1048584.0,1.0,3.0
95,200304130158012.0,1019.0,20030413.0,2.0,1035414.0,1.0,2.0
96,200304130158012.0,1019.0,20030413.0,3.0,1040809.0,1.0,1.6
97,200304130159012.0,1019.0,20030413.0,1.0,1046387.0,1.0,2.6
98,200304130159012.0,1019.0,20030413.0,2.0,1027547.0,1.0,10.6
99,200304130159012.0,1019.0,20030413.0,3.0,1041250.0,1.0,15.9
100,200304130159012.0,1019.0,20030413.0,4.0,1001903.0,1.0,1.3
101,200304130159012.0,1019.0,20030413.0,5.0,1008793.0,1.0,0.9
102,200304130159012.0,1019.0,20030413.0,6.0,1041769.0,1.0,6.9
103,200304130159012.0,1019.0,20030413.0,7.0,1017069.0,1.0,11.6
104,200304130159012.0,1019.0,20030413.0,8.0,1040105.0,1.0,19.2
105,200304130159012.0,1019.0,20030413.0,9.0,1048867.0,1.0,6.0
106,200304130159012.0,1019.0,20030413.0,10.0,1008089.0,1.0,6.6
107,200304130160012.0,1019.0,20030413.0,1.0,1009140.0,1.0,31.1
108,200304130161012.0,1019.0,20030413.0,1.0,1003116.0,1.0,1.0
109,200304130161012.0,1019.0,20030413.0,2.0,1040811.0,1.0,5.0
110,200304130161012.0,1019.0,20030413.0,3.0,1028221.0,1.0,2.0
111,200304130161012.0,1019.0,20030413.0,4.0,1007874.0,2.0,1.2
112,200304130162012.0,1019.0,20030413.0,1.0,1040811.0,1.0,5.0
113,200304130162012.0,1019.0,20030413.0,2.0,1034194.0,1.0,3.0
114,200304130162012.0,1019.0,20030413.0,3.0,1003116.0,1.0,1.0
115,200304130163012.0,1019.0,20030413.0,1.0,1040811.0,1.0,5.0
116,200304130163012.0,1019.0,20030413.0,2.0,1003116.0,1.0,1.0
117,200304130163012.0,1019.0,20030413.0,3.0,1036708.0,1.0,4.0
118,200304130164012.0,1019.0,20030413.0,1.0,1003116.0,1.0,1.0
119,200304130164012.0,1019.0,20030413.0,2.0,1040811.0,1.0,5.0
120,200304130164012.0,1019.0,20030413.0,3.0,1035404.0,1.0,3.0
121,200304130165012.0,1019.0,20030413.0,1.0,1042050.0,1.0,1.8
122,200304130165012.0,1019.0,20030413.0,2.0,1040811.0,1.0,5.0
123,200304130165012.0,1019.0,20030413.0,3.0,1032871.0,1.0,2.6
124,200304130166012.0,1019.0,20030413.0,1.0,1038395.0,1.0,1.0
125,200304130166012.0,1019.0,20030413.0,2.0,1036708.0,1.0,4.0
126,200304130166012.0,1019.0,20030413.0,3.0,1040811.0,1.0,5.0
127,200304130167012.0,1019.0,20030413.0,1.0,1035404.0,1.0,3.0
128,200304130167012.0,1019.0,20030413.0,2.0,1003116.0,1.0,1.0
129,200304130167012.0,1019.0,20030413.0,3.0,1040811.0,1.0,5.0
130,200304130168012.0,1019.0,20030413.0,1.0,1003116.0,1.0,1.0
131,200304130168012.0,1019.0,20030413.0,2.0,1040811.0,1.0,5.0
132,200304130168012.0,1019.0,20030413.0,3.0,1035404.0,1.0,3.0
133,200304130169012.0,1019.0,20030413.0,1.0,1003072.0,1.0,2.8
134,200304130169012.0,1019.0,20030413.0,2.0,1045048.0,1.0,5.3
135,200304130169012.0,1019.0,20030413.0,3.0,1040088.0,1.0,3.1
136,200304130170012.0,1019.0,20030413.0,1.0,1004814.0,24.0,1.65
137,200304130171012.0,1019.0,20030413.0,1.0,1040014.0,1.0,4.4
138,200304130171012.0,1019.0,20030413.0,2.0,1035442.0,3.0,2.15
139,200304130171012.0,1019.0,20030413.0,3.0,1035443.0,2.0,2.15
140,200304130172012.0,1019.0,20030413.0,1.0,1048791.0,1.0,4.5
141,200304130172012.0,1019.0,20030413.0,2.0,1035116.0,2.0,2.6
142,200304130172012.0,1019.0,20030413.0,3.0,1041153.0,1.0,3.3
143,200304130172012.0,1019.0,20030413.0,4.0,1038370.0,3.0,4.0
144,200304130172012.0,1019.0,20030413.0,5.0,1005413.0,3.0,2.5
145,200304130172012.0,1019.0,20030413.0,6.0,1014753.0,4.0,0.5
146,200304130172012.0,1019.0,20030413.0,7.0,1005563.0,4.0,0.9
147,200304130172012.0,1019.0,20030413.0,8.0,1002795.0,3.0,2.8
148,200304130172012.0,1019.0,20030413.0,9.0,1009702.0,2.0,3.7
149,200304130172012.0,1019.0,20030413.0,10.0,1021992.0,2.0,2.7
150,200304130172012.0,1019.0,20030413.0,11.0,1019360.0,1.0,5.4
151,200304130172012.0,1019.0,20030413.0,12.0,1022005.0,2.0,5.5
152,200304130172012.0,1019.0,20030413.0,13.0,1007443.0,2.0,3.9
153,200304130173012.0,1019.0,20030413.0,1.0,1006106.0,1.0,3.2
154,200304130173012.0,1019.0,20030413.0,2.0,1005352.0,1.0,0.9
155,200304130173012.0,1019.0,20030413.0,3.0,1005456.0,1.0,1.2
156,200304130173012.0,1019.0,20030413.0,4.0,1048595.0,1.0,1.6
157,200304130173012.0,1019.0,20030413.0,5.0,1044430.0,3.0,1.0
158,200304130173012.0,1019.0,20030413.0,6.0,1040192.0,1.0,1.7
159,200304130173012.0,1019.0,20030413.0,7.0,1003907.0,2.0,1.6
160,200304130173012.0,1019.0,20030413.0,8.0,1014138.0,2.0,2.0
161,200304130173012.0,1019.0,20030413.0,9.0,1005783.0,1.0,21.0
162,200304130173012.0,1019.0,20030413.0,10.0,1035116.0,1.0,2.6
163,200304130173012.0,1019.0,20030413.0,11.0,1003218.0,1.0,0.75
164,200304130173012.0,1019.0,20030413.0,12.0,1002073.0,1.0,2.0
165,200304130173012.0,1019.0,20030413.0,13.0,1007251.0,1.0,2.0
166,200304130173012.0,1019.0,20030413.0,14.0,1000494.0,1.0,2.9
167,200304130173012.0,1019.0,20030413.0,15.0,1038006.0,4.0,2.9
168,200304130174012.0,1019.0,20030413.0,1.0,1007911.0,24.0,2.2
169,200304130175012.0,1019.0,20030413.0,1.0,1022545.0,0.328,12.6
170,200304130175012.0,1019.0,20030413.0,2.0,1011728.0,1.0,9.0
171,200304130175012.0,1019.0,20030413.0,3.0,1035583.0,1.0,2.4
172,200304130175012.0,1019.0,20030413.0,4.0,1006620.0,1.0,7.5
173,200304130175012.0,1019.0,20030413.0,5.0,1047260.0,1.0,5.2
174,200304130176012.0,1019.0,20030413.0,1.0,1035441.0,0.408,16.8
175,200304130177012.0,1019.0,20030413.0,1.0,1008693.0,0.208,19.0
176,200304130177012.0,1019.0,20030413.0,2.0,1008657.0,0.214,15.8
177,200304130177012.0,1019.0,20030413.0,3.0,1040197.0,0.18,14.5
178,200304130178012.0,1019.0,20030413.0,1.0,1006564.0,2.0,0.5
179,200304130180012.0,1019.0,20030413.0,1.0,1021323.0,1.0,3.6
180,200304130180012.0,1019.0,20030413.0,2.0,1021353.0,1.0,2.5
181,200304130180012.0,1019.0,20030413.0,3.0,1027639.0,2.0,4.7
182,200304130180012.0,1019.0,20030413.0,4.0,1038101.0,1.0,14.4
183,200304130181012.0,1019.0,20030413.0,1.0,1040011.0,1.0,4.4
184,200304130182012.0,1019.0,20030413.0,1.0,1002475.0,1.0,2.8
185,200304130182012.0,1019.0,20030413.0,2.0,1014937.0,1.0,5.4
186,200304130182012.0,1019.0,20030413.0,3.0,1001436.0,1.0,1.75
187,200304130182012.0,1019.0,20030413.0,4.0,1004814.0,1.0,1.65
188,200304130182012.0,1019.0,20030413.0,5.0,1021280.0,1.0,1.9
189,200304130184012.0,1019.0,20030413.0,1.0,1048967.0,24.0,1.7
190,200304130184012.0,1019.0,20030413.0,2.0,1003603.0,2.0,6.0
191,200304130184012.0,1019.0,20030413.0,3.0,1032865.0,1.0,3.8
192,200304130184012.0,1019.0,20030413.0,4.0,1034634.0,1.0,6.2
193,200304130184012.0,1019.0,20030413.0,5.0,1018304.0,1.0,13.6
